section_id,section_order,hidden_initial,question_text,field_name,field_type,option_label,option_value,control_type,required,data_next,data_toggle
q0000,1,FALSE,👤 Basisdaten,0000,text,,,input,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0001,text,,,input,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0002,select,Bitte wählen…,,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0002,select,männlich,männlich,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0002,select,weiblich,weiblich,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0002,select,divers/weiß nicht,divers/weiß nicht,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,Tag,,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,1,1,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,2,2,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,3,3,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,4,4,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,5,5,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,6,6,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,7,7,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,8,8,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,9,9,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,10,10,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,11,11,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,12,12,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,13,13,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,14,14,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,15,15,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,16,16,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,17,17,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,18,18,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,19,19,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,20,20,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,21,21,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,22,22,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,23,23,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,24,24,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,25,25,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,26,26,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,27,27,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,28,28,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,29,29,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,30,30,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_tag,select,31,31,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,Monat,,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,Januar,1,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,Februar,2,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,März,3,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,April,4,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,Mai,5,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,Juni,6,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,Juli,7,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,August,8,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,September,9,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,Oktober,10,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,November,11,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_monat,select,Dezember,12,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,Jahr,,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,2025,2025,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,2024,2024,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,2023,2023,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,2022,2022,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,2021,2021,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,2020,2020,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,2019,2019,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,2018,2018,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,2017,2017,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,2016,2016,select,TRUE,,
q0000,1,FALSE,👤 Basisdaten,0003_jahr,select,2015,2015,select,TRUE,,
